2;AFC;PALAZZINA DIREZIONALE;PIANO RIALZATO;UFFICIO QUALITA';F.LAVISTA;HP;LaserJet 1022;22/07/2015;40.213;;;;;
3;AFC;PALAZZINA DIREZIONALE;PIANO RIALZATO;UFFICIO QUALITA';M.ZULIANI;HP;Officejet K8600;21/07/2015;1;;22/07/2015;500;;
4;AFC;PALAZZINA DIREZIONALE;PIANO RIALZATO;UFFICIO QUALITA';;REX-ROTARY;D5m620d;22/07/2015;104.116;;;;;
5;AFC;PALAZZINA DIREZIONALE;PIANO RIALZATO;UFFICIO / QUALITA';R.VERGOLINI / M.ZULIANI / CENCIG FADONE;Konica Minolta;Bizhub C 253;01/07/2015;551.068;134625;09/07/2015;552.518;135.438;10.10.4.238
6;AFC;PALAZZINA DIREZIONALE;PIANO RIALZATO;UFFICIO COMMERCIALE;;Konica Minolta;Bizhub 501;08/07/2015;209.328;;09/07/2015;209.552;;10.10.4.140
7;AFC;PALAZZINA DIREZIONALE;PIANO RIALZATO;UFFICIO / QUALITA';;OCE';OCE' 7055;;;;;;;
8;AFC;PALAZZINA DIREZIONALE;PIANO RIALZATO;UFFICIO SIMULAZIONE 3D;CELLA / MENEGAZZI;OKI;OKI C822;02/07/2015;30.590;;09/07/2015;30.838;;10.10.4.82
9;AFC;PALAZZINA DIREZIONALE;PIANO RIALZATO;UFFICIO SIMULAZIONE 3D;GPCOUNT;CANON;CANON IPF710;01/07/2015;6.510;;11/07/2015;6.559;;10.10.4.99
10;AFC;PALAZZINA DIREZIONALE;PIANO RIALZATO;UFFICIO PROGRAMMAZIONE;M.DE VITTOR;OKI;OKI C5700;01/07/2015;207.013;;11/07/2015;207.771;;10.10.4.229
11;AFC;PALAZZINA DIREZIONALE;PIANO RIALZATO;UFFICIO PROGRAMMAZIONE;M.DE VITTOR;HP;DeskJet 1220C;22/07/2015;1;;22/08/2015;500;;
12;AFC;PALAZZINA DIREZIONALE;PIANO RIALZATO;UFFICIO PROGRAMMAZIONE;D.BIZZARRA;HP;DeskJet 1280;22/07/2015;1;;22/08/2015;500;;
13;AFC;PALAZZINA DIREZIONALE;PIANO RIALZATO;UFFICIO PROGRAMMAZIONE;PC DI SERVIZIO;COMPUPRINT;COMPUPRINT 4/64;;;;;;;
14;AFC;PALAZZINA DIREZIONALE;PIANO RIALZATO;UFFICIO PROGRAMMAZIONE;A.MACUZ / GREGORONI;MUSTEK A3;MUSTEK A3;;;;;;;
15;AFC;PALAZZINA DIREZIONALE;1 PIANO;UFFICIO CONTABILITA';G.PARON;OKI;OKI C5300;22/07/2015;60.251;32125;;;;
16;AFC;PALAZZINA DIREZIONALE;1 PIANO;UFFICIO CONTABILITA';G.PARON;COMPUPRINT;COMPUPRINT1070;;;;;;;
17;AFC;PALAZZINA DIREZIONALE;1 PIANO;UFFICIO CONTABILITA';G.PARON;CANON;SCANNER CANON;;;;;;;
18;AFC;PALAZZINA DIREZIONALE;1 PIANO;UFFICIO CONTABILITA';M.FASIOLO;HP;DeskJet 5150;22/07/2015;1;;22/08/2015;500;;
19;AFC;PALAZZINA DIREZIONALE;1 PIANO;UFFICIO CONTABILITA';F.SCAREL;BROTHER;MFC-L2700DW;22/07/2015;2.209;;;;;
20;AFC;PALAZZINA DIREZIONALE;1 PIANO;UFF.LAVORAZIONI MECC. ESTERNE;G.PARONI / BROVEDANI;HP;OFFICEJET 7000;01/07/2015;7.230;;09/07/2015;7.243;;10.10.4.183
21;AFC;PALAZZINA DIREZIONALE;1 PIANO;CORRIDOIO;;KYOCERA;KM-5050;09/07/2015;121.364;;09/07/2015;121.388;;10.10.4.77
22;AFC;PALAZZINA DIREZIONALE;1 PIANO;UFFICIO ACQUISTI;S.CIGNOLA;HP;LaserJet 1022;22/07/2015;68.866;;;;;
23;AFC;PALAZZINA DIREZIONALE;1 PIANO;UFFICIO ACQUISTI;;BROTHER;MFC-7440N;01/07/2015;15.967;;11/07/2015;16.030;;10.10.4.77
24;AFC;PALAZZINA DIREZIONALE;1 PIANO;UFFICIO ACQUISTI;M.SARGENTINI;HP;LaserJet 1022;22/07/2015;95.104;;;;;
25;AFC;PALAZZINA DIREZIONALE;1 PIANO;DIREZIONE PRODUZIONE;M.RUSSO / LAPOINTE;HP;LaserJet P2055dn;22/07/2015;21.196;;;;;
26;AFC;PALAZZINA DIREZIONALE;2 PIANO;UFFICIO COMMERCIALE;V.MERLO / C.FISCI / A.BERNARDINO / K.AGATH / A.ZIGON;OLIVETTI;D-COLOR MF2001;01/07/2015;113.203;60.343;11/07/2015;113.895;60.966;10.10.4.199
27;AFC;PALAZZINA DIREZIONALE;2 PIANO;UFFICIO COMMERCIALE;ROTTAMATA;REX-ROTARY;REX-ROTARY 8851;;;;;;;
28;AFC;PALAZZINA DIREZIONALE;2 PIANO;UFFICIO COMMERCIALE;O.GULLION;HP;DeskJet 1280;22/07/2015;1;;22/08/2015;500;;
29;AFC;PALAZZINA DIREZIONALE;2 PIANO;UFFICIO COMMERCIALE;O.GULLION;OKI;OKI MICROLINER 395;;;;;;;
30;AFC;PALAZZINA DIREZIONALE;2 PIANO;UFFICIO COMMERCIALE;K.BERNARDINIS;OKI;OKI C5200;02/07/2015;348.295;;11/07/2015;349.086;;10.10.4.187
31;AFC;PALAZZINA DIREZIONALE;2 PIANO;UFFICIO COMMERCIALE;F.ERMEN;COMPUPRINT;COMPUPRINT 4/64;;;;;;;
32;AFC;PALAZZINA DIREZIONALE;2 PIANO;UFFICIO COMMERCIALE;F.ZOLLI;HP;LaserJet 1100;22/07/2015;1;;22/08/2015;500;;
33;AFC;PALAZZINA DIREZIONALE;2 PIANO;UFFICIO COMMERCIALE;C.BAUMGARDT;HP;DeskJet 1280;22/07/2015;1;;22/08/2015;500;;
34;AFC;PALAZZINA DIREZIONALE;2 PIANO;UFFICIO COMMERCIALE;L.SCORDAMAGLIA / A.VALDUGA;HP;OFFICEJET 7110;22/07/2015;1;;22/08/2015;500;;
35;AFC;PALAZZINA DIREZIONALE;2 PIANO;UFFICIO COMMERCIALE;E.BRUMAT;HP;LaserJet P2014;22/07/2015;69.966;;;;;
36;AFC;PALAZZINA DIREZIONALE;2 PIANO;SALA CED;;TALLY;TALLYGECONICOM 2265+;;;;;;;
37;AFC;STABILIMENTO;;UFFICIO MANUTENZIONE;BIANCIFIORE;BROTHER;BROTHER MCF-7820N;22/07/2015;1;;22/08/2015;500;;
38;AFC;STABILIMENTO;;UFFICIO MANUTENZIONE;A.TOSO;HP;LaserJet 2035;22/07/2015;4.872;;;;;
39;AFC;STABILIMENTO;;UFFICIO MANUTENZIONE;V.LAVARONI;HP;DeskJet 1220C;22/07/2015;1;;22/08/2015;500;;
40;AFC;STABILIMENTO;;UFFICIO MANUTENZIONE;V.LAVARONI;PLUSTEK;PLUSTEK SMARTOFFICE PL2546;;;;;;;
41;AFC;STABILIMENTO;;REPARTO ACCIAIERIA;A.OLIVER;HP;DeskJet 840C;22/07/2015;1;;22/08/2015;500;;
42;AFC;STABILIMENTO;;REPARTO ACCIAIERIA;;MUSTEK A3;MUSTEK A3;;;;;;;
43;AFC;STABILIMENTO;;REPARTO ACCIAIERIA;L.BALUTTO;HP;DeskJet 5940;22/07/2015;1;;22/08/2015;500;;
44;AFC;STABILIMENTO;;REPARTO ACCIAIERIA;D.SPANIC / N.MORANDINI;HP;LaserJet 6P;22/07/2015;1;;22/08/2015;500;;
45;AFC;STABILIMENTO;;LABORATORIO;M.FADONE;HP;DeskJet 840C;22/07/2015;1;;22/08/2015;500;;
46;AFC;STABILIMENTO;;LABORATORIO;M.ZULIANI;EPSON;EPSON LX-300+;22/07/2015;1;;22/08/2015;500;;
47;AFC;STABILIMENTO;;LABORATORIO;CAPITURNO;HP;6000 OFFICEJET;22/07/2015;1;;22/08/2015;500;;
48;AFC;STABILIMENTO;;LABORATORIO;;OKI;OKI MICROLINER 3020 TURBO;;;;;;;
49;AFC;STABILIMENTO;;FORMATURA 1;E.FIORIDO / F.CANTONI;HP;Officejet K8600;22/07/2015;1;;22/08/2015;500;;
50;AFC;STABILIMENTO;;COLLAUDO;M.MAREGA;HP;OFFICEJET 6100;22/07/2015;1;;22/08/2015;500;;
51;AFC;STABILIMENTO;;COLLAUDO;M.ZULIANI;HP;LaserJet 1200;22/07/2015;1;;22/08/2015;500;;
52;AFC;STABILIMENTO;;TRACCIATURA;D.ZANNIER;HP;DeskJet 1280;22/07/2015;1;;22/08/2015;500;;
53;AFC;DIVISIONE SIRIO;;MODELLERIA;D.CABBAI;HP;DeskJet 1220C;22/07/2015;1;;22/08/2015;500;;
54;AFC;DIVISIONE SIRIO;;ANIMISTERIA;C.FERLIZZA;HP;DeskJet 840C;22/07/2015;1;;22/08/2015;500;;
55;AFC;DIVISIONE SIRIO;;ANIMISTERIA;C.FERLIZZA;HP;LaserJet 1200;22/07/2015;1;;22/08/2015;500;;
56;AFC;DIVISIONE SIRIO;;UFFICIO R.S.P.P,;D.OKOKOLIC;OLIVETTI;D-COLOR MF2001;01/07/2015;90.748;23.326;11/07/2015;91.144;23.572;10.10.4.48
57;AFC;DIVISIONE SIRIO;;MODELLERIA;L.GORTAN;HP;OFFICEJET 6100;;;;;;;
58;AFC;DIVISIONE SIRIO;;MODELLERIA;L.GORTAN;EPSON;EPSON STYLUS COLOR 3000;;;;;;;
59;AFC;DIVISIONE SIRIO;;MODELLERIA;;OLIVETTI;D-COPIA 8015;;;;;;;
60;FACS FUCINE;UFFICI DIREZIONE;PIANTERRENO;UFFICIO TECNICO / PIANIFICAZIONE;PICCINI;OKI;OKI 9650;01/07/2015;44.508;;11/07/2015;44.705;;10.10.3.229
61;FACS FUCINE;UFFICI DIREZIONE;PIANTERRENO;PIANIFICAZIONE;M.SABADELLI;;;;;;;;;
62;FACS FUCINE;UFFICI DIREZIONE;PIANTERRENO;UFFICIO TECNICO / PIANIFICAZIONE;D.VIDA / ANDREA.PERTOLDI / A.PARAVAN / L.GIRARDI;;;;;;;;;
63;FACS FUCINE;UFFICI DIREZIONE;PIANTERRENO;MANUTENZIONE;ALEX PERTOLDI;BROTHER;BROTHER MCF-7460DN;22/07/2015;1;;22/08/2015;500;;
64;FACS FUCINE;UFFICI DIREZIONE;1 PIANO;CORRIDOIO;NON TROVATA;OLIVETTI;D-COLOR MF30;;;;;;;
65;FACS FUCINE;UFFICI DIREZIONE;1 PIANO;CORRIDOIO;;OCE';OCE' CS2236;01/07/2015;3.451;;11/07/2015;3.458;;10.10.3.250
66;FACS FUCINE;UFFICI DIREZIONE;1 PIANO;RESPONSABILE DI STABILIMENTO;M.OLIVO;HP;LaserJet P1102;22/07/2015;1;;22/08/2015;500;;
67;FACS FUCINE;UFFICI DIREZIONE;1 PIANO;UFF. ACQUISTI;N.MINIUSSI;xxxx;xxxx;01/07/2015;93.290;;10/07/2015;93.600;;10.10.3.180
68;FACS FUCINE;Corridoio;1 PIANO;;;Konica Minolta;Generic 30C-1;01/07/2015;397.802;;11/07/2015;399.228;;10.10.3.185
69;FACS FUCINE;Ufficio Tecnico;;;PICCINI;KYOCERA;KM-5050;01/07/2015;90.560;;11/07/2015;91.851;;10.10.3.45
70;FACS FUCINE;UFFICI DIREZIONE;1 PIANO;R.S.P.P.;C.ODDO;;;;;;;;;
71;FACS FUCINE;UFFICI DIREZIONE;2 PIANO;CORRIDOIO;;Konica Minolta;Bizhub C 253;01/07/2015;389.970;165.467;11/07/2015;392.239;166.177;10.10.3.26
72;FACS FUCINE;UFFICI DIREZIONE;2 PIANO;;;REX-ROTARY;REX-ROTARY 6992;22/07/2015;1;;22/08/2015;500;;
73;FACS FUCINE;UFFICI DIREZIONE;2 PIANO;UFF.COMMERCIALE;A.SICURO;OLIVETTI;D-COLOR P26;22/07/2015;58.940;43193;;;;
74;FACS FUCINE;UFFICI DIREZIONE;2 PIANO;UFF.COMMERCIALE;A.SICURO;COMPUPRINT;COMPUPRINT 4/64;;;;;;;
75;FACS FUCINE;UFFICI DIREZIONE;2 PIANO;UFF.COMMERCIALE;N.DOMINI;HP;LaserJet 1022;22/07/2015;32.695;;;;;
76;FACS FUCINE;UFFICI DIREZIONE;2 PIANO;UFF.COMMERCIALE;N.DOMINI;COMPUPRINT;COMPUPRINT 4/64;;;;;;;
77;FACS FUCINE;UFFICI DIREZIONE;2 PIANO;;;;;;;;;;;
78;FACS FUCINE;UFFICI DIREZIONE;2 PIANO;;;;;;;;;;;
79;FACS FUCINE;UFFICI DIREZIONE;2 PIANO;AMMINISTRAZIONE;G.MENEGON;OKI;OKI C3450;01/07/2015;48.813;;11/07/2015;49.145;;10.10.3.177
80;FACS FUCINE;UFFICI DIREZIONE;2 PIANO;AMMINISTRAZIONE;G.MENEGON;COMPUPRINT;COMPUPRINT 4/64;;;;;;;
81;FACS FUCINE;UFFICI DIREZIONE;2 PIANO;AMMINISTRAZIONE;L.COSCIA;HP;LaserJet 6L;22/07/2015;1;;22/08/2015;500;;
82;FACS FUCINE;UFFICI DIREZIONE;2 PIANO;AMMINISTRAZIONE;L.COSCIA;TALLY;TALLYGECONICOM 2265+;;;;;;;
83;FACS FUCINE;UFFICI DIREZIONE;2 PIANO;OPERATION MANAGER;S.FASSINA;;;;;;;;;
84;FACS FUCINE;UFFICI DIREZIONE;2 PIANO;DIREZIONE;G.AMICI;RICOH;RICOH SP204SFN;22/07/2015;1;;22/08/2015;500;;
85;FACS FUCINE;UFFICI DIREZIONE;2 PIANO;UFF.COMMERCIALE;F.ZORZENONE / M.KOSMINA / G.BELTRAME / M.PERES;HP;LaserJet 1300;22/07/2015;1;;22/08/2015;500;;
86;FACS FUCINE;STABILIMENTO;;FORGIA;CAPITURNO;HP;DeskJet 815C;22/07/2015;1;;22/08/2015;500;;
87;FACS FUCINE;STABILIMENTO;;COLLAUDO;;KYOCERA;M6526CDN;01/07/2015;30.039;;11/07/2015;31.188;;10.10.3.103
88;FACS FUCINE;STABILIMENTO;;COLLAUDO;;ZEBRA;ZEBRA ZT710;;;;;;;
89;FACS FUCINE;STABILIMENTO;;;S.COSOLO / E.NARDUZZI / S.SALERNO / S.MUZYCHUCK / N.DANIELIS;OKI;OKI C5700;22/07/2015;36.240;27247;;;;
90;FACS FUCINE;STABILIMENTO;;SPEDIZIONI;C.BERTOLLA / F.GARUFFI;OLIVETTI;D-COPIA 300;22/07/2015;94.115;;;;;
91;FACS FUCINE;STABILIMENTO;;SPEDIZIONI;C.BERTOLLA / F.GARUFFI;EPSON;EPSON LQ-2070;;;;;;;
92;FACS FUCINE;;;;R.SCLAUZERO;KYOCERA;KM-1650KX;01/07/2015;212.529;;11/07/2015;212.853;;10.10.3.24
93;FACS FUCINE;;;;R.SCLAUZERO;HP;1120C;22/07/2015;1;;22/08/2015;500;;
94;FACS FUCINE;;;;C.DE MARCO;HP;DeskJet 1220C;22/07/2015;1;;22/08/2015;500;;
95;FACS FUCINE;;;;EX CARLINI;HP;1120C;22/07/2015;1;;22/08/2015;500;;
96;FACS FUCINE;;;IN REPARTO;D.SOMMARO;HP;OFFICEJET K700;22/07/2015;1;;22/08/2015;500;;
97;FACS FUCINE;;;;M.ZAMPAR;HP;DeskJet 1280;;;;;;;
98;FACS FUCINE;;;;M.ZAMPAR;REX-ROTARY;REX ROTARY 8715Z;;;;;;;
99;FAREM FONDERIE ACCIAO REMANZACCO;;PIANTERRENO;;E.DE LUCA;HP;DeskJet 840C;22/07/2015;1;;22/08/2015;500;;
100;FAREM FONDERIE ACCIAO REMANZACCO;;1 PIANO;;D.ANTONUTTI;HP;DeskJet 1280;22/07/2015;1;;22/08/2015;500;;
101;FAREM FONDERIE ACCIAO REMANZACCO;;1 PIANO;;R.CHIABAI;HP;DeskJet 840C;22/07/2015;1;;22/08/2015;500;;
102;FAREM FONDERIE ACCIAO REMANZACCO;;1 PIANO;;R.CHIABAI;COMPUPRINT;COMPUPRINT 4/64;22/07/2015;1;;22/08/2015;500;;
103;FAREM FONDERIE ACCIAO REMANZACCO;;1 PIANO;;;COMPUPRINT;COMPUPRINT 4/41;;;;;;;
104;FAREM FONDERIE ACCIAO REMANZACCO;;1 PIANO;;;OLIVETTI;D-COPIA 18 MF;22/07/2015;79.910;;;;;
105;FAREM FONDERIE ACCIAO REMANZACCO;;1 PIANO;;S.PERESSINI;HP;DeskJet 1220C;;;;;;;
106;FAREM FONDERIE ACCIAO REMANZACCO;;1 PIANO;;P.CALCATERRA;OKI;OKI MICROLINE 395;;;;;;;
107;FAREM FONDERIE ACCIAO REMANZACCO;;1 PIANO;;P.CALCATERRA;HP;LaserJet 1022;22/07/2015;49.512;;;;;
108;FAREM FONDERIE ACCIAO REMANZACCO;;1 PIANO;;EX TION;HP;DESIGNJET 130;;;;;;;
109;FAREM FONDERIE ACCIAO REMANZACCO;ACCIAIERIA;;;M.DI FANT;OKI;OKI C310;22/07/2015;49.600;36214;;;;
110;FAREM FONDERIE ACCIAO REMANZACCO;ACCIAIERIA;;;M.DI FANT;COMPUPRINT;COMPUPRINT 4/64;;;;;;;
111;FAREM FONDERIE ACCIAO REMANZACCO;ACCIAIERIA;;SPEDIZIONE;TOMADA;HP;LaserJet 1022;22/07/2015;139.663;;;;;
112;FAREM FONDERIE ACCIAO REMANZACCO;ACCIAIERIA;;SPEDIZIONE;TOMADA;COMPUPRINT;COMPUPRINT 4/41;;;;;;;
113;FAREM FONDERIE ACCIAO REMANZACCO;ACCIAIERIA;;COLLAUDO;D.STEFANINI;OKI;OKI 310dn;22/07/2015;88.893;57142;;;;
114;FAREM FONDERIE ACCIAO REMANZACCO;;;;M.CAVE;HP;DeskJet 5740;;;;;;;
115;FAREM FONDERIE ACCIAO REMANZACCO;;;;M.CAVE;REX-ROTARY;REX ROTARY 1808;;;;;;;
116;FAREM FONDERIE ACCIAO REMANZACCO;GPCOUNT;;GPCOUNT;GPCOUNT;KYOCERA;KM-2050;01/07/2015;287.399;;11/07/2015;288.851;;10.10.2.223
117;FLAG-IFI;;;UFFICIO PRODUZIONE  IFI;;HP;DeskJet 9800;20/07/2015;1;;20/08/2015;500;;
118;FLAG-IFI;;;UFFICIO PRODUZIONE  IFI;;KYOCERA;FS-C5100DN;20/07/2015;47.707;45748;;;;10.10.7.222
119;FLAG-IFI;;;UFFICIO PRODUZIONE  IFI;;HP;LaserJet 1320;20/07/2015;50.371;;;;;
120;FLAG-IFI;;;UFFICIO PRODUZIONE  IFI;ROTTAMATA;OLIVETTI;D-COPIA 25;;;;;;;
121;FLAG;;;UFFICIO MANUTENZIONE;;HP;LaserJet 1320;20/07/2015;15.678;;;;;
122;FLAG;;;UFFICIO R.S.P.P. GERARDUZ MASSIMO;;HP;DeskJet 1220C;20/07/2015;1;;20/08/2015;500;;
123;FLAG;;;UFFICIO COLLAUDO/FINITURA;NON TROVATA;KYOCERA;FS-6950DN;;;;;;;
124;FLAG;;;UFFICIO COLLAUDO/FINITURA;NON TROVATA;OLIVETTI;D-COPIA 23;;;;;;;
125;FLAG;;;UFFICIO RADIOGRAFICO;;OKI;OKI MICROLINE 395;;;;;;;
126;FLAG;;;UFFICIO RADIOGRAFICO;;HP;LaserJet 1320;20/07/2015;50.477;;;;;
127;FLAG;;;UFFICIO SPEDIZIONI;;BULL COMPUPRINT;BULL 4/66;;;;;;;
128;FLAG;;;UFFICIO SPEDIZIONI;;BULL COMPUPRINT;BULL 4/64;;;;;;;
129;FLAG;;;UFFICIO SPEDIZIONI;;HP;LaserJet P2035;20/07/2015;1;;20/08/2015;500;;
130;FLAG;;;UFFICIO TAGLIO CANNELLO;;HP;LaserJet 1200;20/07/2015;1;;20/08/2015;500;;
131;FLAG;;;UFFICIO AMMINISTRATORE DELEGATO;;HP;LaserJet 1022;20/07/2015;18.334;;;;;
132;FLAG;;;UFFICIO MARCHI COMMERCIALE;;HP;LaserJet P2014;20/07/2015;51.882;;;;;
133;FLAG;;;UFFICIO FERRONATO COLLAUDO;;HP;LaserJet 1320;20/07/2015;55.277;;;;;
134;FLAG;;;UFFICIO COLLAUDO;NON TROVATA;HP;DeskJet 1280;;;;;;;
